date,origin,destination,currency_code,minimum_price,first_quartile_price,median_price,third_quartile_price,maximum_price,EURMXN=X_Close,EURTRY=X_Close,EURUSD=X_Close
2019-05-21,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.28260040283203,6.724999904632568,1.1168566942214966
2019-05-22,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.223800659179688,6.7678399085998535,
2019-05-23,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.186899185180664,6.824979782104492,1.1155484914779663
2019-05-24,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.29599952697754,6.839290142059326,1.1184556484222412
2019-05-25,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-26,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,,,
2019-05-27,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.344999313354492,6.807429790496826,1.1209630966186523
2019-05-28,,,,,,,,,21.326000213623047,6.790949821472168,1.1193821430206299
2019-05-29,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.42371940612793,6.736480236053467,1.1170687675476074
2019-05-30,MAD,IST,USD,93.79,456.62,460.0,515.28,560.28,21.309999465942383,6.700329780578613,1.1137346029281616
2019-05-31,,,,,,,,,21.73240089416504,6.5782599449157715,1.1131147146224976
2019-06-01,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-02,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-03,,,,,,,,,21.92840003967285,6.5510101318359375,1.1174057722091675
2019-06-04,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,22.270000457763672,6.559599876403809,1.124631643295288
2019-06-05,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,22.01919937133789,6.497230052947998,1.1254037618637085
2019-06-06,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,22.174800872802734,6.420139789581299,1.1229015588760376
2019-06-07,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,22.18429946899414,6.526209831237793,1.1276500225067139
2019-06-08,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-09,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-10,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.83329963684082,6.610050201416016,1.1320157051086426
2019-06-11,,,,,,,,,21.73419952392578,6.552490234375,1.1318106651306152
2019-06-12,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.657100677490234,6.572889804840088,1.1329518556594849
2019-06-13,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.648000717163086,6.5613298416137695,1.1295605897903442
2019-06-14,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.64889907836914,6.625349998474121,1.1280443668365479
2019-06-15,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-16,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-17,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.471399307250977,6.633130073547363,1.1217050552368164
2019-06-18,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.523700714111328,6.589079856872559,1.1224603652954102
2019-06-19,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.413000106811523,6.522649765014648,1.1198208332061768
2019-06-20,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.367799758911133,6.506669998168945,1.1238480806350708
2019-06-21,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.45949935913086,6.507760047912598,1.1295605897903442
2019-06-22,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-23,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-06-24,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.74220085144043,6.5600199699401855,1.1384724378585815
2019-06-25,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.89430046081543,6.610730171203613,1.140029788017273
2019-06-26,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.86090087890625,6.58650016784668,1.1369967460632324
2019-06-27,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.765899658203125,6.561669826507568,1.1374752521514893
2019-06-28,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,21.80150032043457,6.559820175170898,1.1372941732406616
2019-06-29,,,,,,,,,,,
2019-06-30,MAD,IST,USD,97.76,479.98,560.34,573.11,604.22,,,
2019-07-01,,,,,,,,,21.75377082824707,6.5135297775268555,1.1364928483963013
2019-07-02,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.5575008392334,6.3749799728393555,1.1287446022033691
2019-07-03,,,,,,,,,21.517499923706055,6.378550052642822,1.1293054819107056
2019-07-04,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.462499618530273,6.355350017547607,1.1287955045700073
